,Score,Time,Param
0,0.8913333333333334,5.39386,"{'penalty': 'l1', 'solver': 'saga', 'C': 0.009634972535694977}"
1,0.89,4.846424,"{'penalty': 'none', 'solver': 'lbfgs', 'C': 0.009483933846587415}"
2,0.89,5.042033,"{'penalty': 'none', 'solver': 'saga', 'C': 0.003252683065414489}"
3,0.89,3.780038,"{'penalty': 'none', 'solver': 'lbfgs', 'C': 0.002142769673673749}"
4,0.89,5.696039,"{'penalty': 'none', 'solver': 'newton-cg', 'C': 0.004248100189941597}"
5,0.8960000000000001,2.982748,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.006855480274681182}"
6,0.8966666666666667,2.913755,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.00844536797842339}"
7,0.8913333333333334,4.892646,"{'penalty': 'l1', 'solver': 'saga', 'C': 0.009586580983680974}"
8,0.8973333333333334,3.662619,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.00969463695136381}"
9,0.89,5.199588,"{'penalty': 'none', 'solver': 'newton-cg', 'C': 0.0030270680933187208}"
10,Média: 0.8922666666666668,Média: 4.440975,
11,Desvio Padrão: 0.0030983866769659653,,
