,Score,Time,Param
0,0.8906666666666666,0.4203364849090577,"{'solver': 'saga', 'penalty': 'l1', 'C': 1}"
1,0.8973333333333334,0.3878872394561767,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.01}"
2,0.8906666666666666,0.21628761291503906,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 0.1}"
3,0.8906666666666666,0.2849974632263184,"{'solver': 'sag', 'penalty': 'l2', 'C': 0.1}"
4,0.8973333333333333,0.06977009773254395,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.1}"
5,0.8939999999999999,0.2872154712677002,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.1}"
6,0.8906666666666666,0.19272446632385254,"{'solver': 'saga', 'penalty': 'l2', 'C': 1}"
7,0.89,0.1775498390197754,"{'solver': 'sag', 'penalty': 'none', 'C': 0.1}"
8,0.89,0.07998943328857423,"{'solver': 'sag', 'penalty': 'l2', 'C': 10}"
9,0.8906666666666666,0.19429326057434082,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.1}"
10,Média: 0.8922000000000001,Média: 0.23110513687133788,
11,Desvio Padrão: 0.0029321546453414883,,
